Id,IndexNumber,LevelID,Number1,Number2,LevelNewStatus
number,number,number,number,number,string
1,1,1,1,7,NEW,add
2,2,1,7,5,NEW,add
3,3,1,6,5,NEW,add
4,4,1,9,6,NEW,add
5,1,2,8,11,NEW,add
6,2,2,1,17,NEW,add
7,3,2,8,5,NEW,add
8,4,2,16,5,NEW,add
9,1,3,22,3,NEW,add
10,2,3,19,15,NEW,add
11,3,3,11,8,NEW,add
12,4,3,13,20,NEW,add
13,1,4,11,5,NEW,add
14,2,4,29,12,NEW,add
15,3,4,1,4,NEW,add
16,4,4,4,30,NEW,add
17,1,5,3,16,NEW,add
18,2,5,23,33,NEW,add
19,3,5,36,34,NEW,add
20,4,5,32,29,NEW,add
21,1,6,60,17,NEW,add
22,2,6,11,55,NEW,add
23,3,6,12,48,NEW,add
24,4,6,31,35,NEW,add
25,1,7,4,4,NEW,subtract
26,2,7,2,2,NEW,subtract
27,3,7,4,1,NEW,subtract
28,4,7,8,3,NEW,subtract
29,1,8,1,1,NEW,subtract
30,2,8,18,2,NEW,subtract
31,3,8,9,7,NEW,subtract
32,4,8,16,13,NEW,subtract
33,1,9,29,22,NEW,subtract
34,2,9,3,2,NEW,subtract
35,3,9,16,14,NEW,subtract
36,4,9,16,3,NEW,subtract
37,1,10,18,17,NEW,subtract
38,2,10,33,15,NEW,subtract
39,3,10,22,13,NEW,subtract
40,4,10,21,4,NEW,subtract
41,1,11,34,1,NEW,subtract
42,2,11,15,1,NEW,subtract
43,3,11,33,15,NEW,subtract
44,4,11,18,11,NEW,subtract
45,1,12,31,7,NEW,subtract
46,2,12,39,22,NEW,subtract
47,3,12,2,1,NEW,subtract
48,4,12,99,43,NEW,subtract
49,1,13,1,9,NEW,multiply
50,2,13,4,7,NEW,multiply
51,3,13,7,7,NEW,multiply
52,4,13,1,1,NEW,multiply
53,1,14,8,19,NEW,multiply
54,2,14,16,15,NEW,multiply
55,3,14,6,2,NEW,multiply
56,4,14,14,10,NEW,multiply
57,1,15,13,9,NEW,multiply
58,2,15,23,29,NEW,multiply
59,3,15,9,15,NEW,multiply
60,4,15,7,20,NEW,multiply
61,1,16,36,38,NEW,multiply
62,2,16,27,11,NEW,multiply
63,3,16,21,2,NEW,multiply
64,4,16,27,8,NEW,multiply
65,1,17,28,3,NEW,multiply
66,2,17,9,37,NEW,multiply
67,3,17,18,34,NEW,multiply
68,4,17,47,15,NEW,multiply
69,1,18,67,57,NEW,multiply
70,2,18,90,85,NEW,multiply
71,3,18,66,7,NEW,multiply
72,4,18,47,27,NEW,multiply
73,1,19,12,6,NEW,divide
74,2,19,42,7,NEW,divide
75,3,19,15,5,NEW,divide
76,4,19,25,5,NEW,divide
77,1,20,39,13,NEW,divide
78,2,20,9,1,NEW,divide
79,3,20,112,16,NEW,divide
80,4,20,44,11,NEW,divide
81,1,21,9,1,NEW,divide
82,2,21,306,18,NEW,divide
83,3,21,10,10,NEW,divide
84,4,21,112,8,NEW,divide
85,1,22,1023,33,NEW,divide
86,2,22,210,21,NEW,divide
87,3,22,112,14,NEW,divide
88,4,22,56,28,NEW,divide
89,1,23,783,27,NEW,divide
90,2,23,504,12,NEW,divide
91,3,23,352,32,NEW,divide
92,4,23,624,13,NEW,divide
93,1,24,1377,17,NEW,divide
94,2,24,782,17,NEW,divide
95,3,24,4408,76,NEW,divide
96,4,24,3910,46,NEW,divide
