Id,Index,OperationID,Value
number,number,number,number
1,1,1,8
2,2,1,14
3,3,1,11
4,4,1,19
5,1,2,12
6,2,2,17
7,3,2,22
8,4,2,18
9,1,3,18
10,2,3,15
11,3,3,21
12,4,3,11
13,1,4,15
14,2,4,21
15,3,4,25
16,4,4,18
17,1,5,19
18,2,5,27
19,3,5,24
20,4,5,30
21,1,6,27
22,2,6,18
23,3,6,21
24,4,6,29
25,1,7,21
26,2,7,24
27,3,7,13
28,4,7,19
29,1,8,30
30,2,8,24
31,3,8,21
32,4,8,32
33,1,9,25
34,2,9,33
35,3,9,36
36,4,9,34
37,1,10,40
38,2,10,41
39,3,10,34
40,4,10,44
41,1,11,28
42,2,11,25
43,3,11,19
44,4,11,27
45,1,12,33
46,2,12,39
47,3,12,41
48,4,12,43
49,1,13,26
50,2,13,23
51,3,13,16
52,4,13,19
53,1,14,52
54,2,14,41
55,3,14,46
56,4,14,47
57,1,15,15
58,2,15,8
59,3,15,5
60,4,15,13
61,1,16,44
62,2,16,38
63,3,16,41
64,4,16,34
65,1,17,19
66,2,17,23
67,3,17,27
68,4,17,24
69,1,18,59
70,2,18,56
71,3,18,63
72,4,18,67
73,1,19,78
74,2,19,70
75,3,19,80
76,4,19,75
77,1,20,61
78,2,20,67
79,3,20,71
80,4,20,66
81,1,21,81
82,2,21,85
83,3,21,82
84,4,21,77
85,1,22,66
86,2,22,72
87,3,22,77
88,4,22,71
89,1,23,69
90,2,23,63
91,3,23,60
92,4,23,65
93,1,24,66
94,2,24,74
95,3,24,71
96,4,24,69
97,1,25,8
98,2,25,6
99,3,25,0
100,4,25,7
101,1,26,10
102,2,26,3
103,3,26,0
104,4,26,4
105,1,27,8
106,2,27,11
107,3,27,10
108,4,27,3
109,1,28,9
110,2,28,12
111,3,28,5
112,4,28,11
113,1,29,11
114,2,29,7
115,3,29,6
116,4,29,0
117,1,30,16
118,2,30,23
119,3,30,27
120,4,30,25
121,1,31,2
122,2,31,8
123,3,31,12
124,4,31,9
125,1,32,13
126,2,32,3
127,3,32,10
128,4,32,6
129,1,33,7
130,2,33,14
131,3,33,11
132,4,33,10
133,1,34,4
134,2,34,1
135,3,34,7
136,4,34,12
137,1,35,7
138,2,35,13
139,3,35,2
140,4,35,10
141,1,36,13
142,2,36,24
143,3,36,18
144,4,36,22
145,1,37,1
146,2,37,9
147,3,37,7
148,4,37,11
149,1,38,25
150,2,38,18
151,3,38,29
152,4,38,27
153,1,39,9
154,2,39,16
155,3,39,18
156,4,39,12
157,1,40,20
158,2,40,26
159,3,40,17
160,4,40,28
161,1,41,43
162,2,41,33
163,3,41,42
164,4,41,44
165,1,42,22
166,2,42,18
167,3,42,14
168,4,42,20
169,1,43,29
170,2,43,24
171,3,43,18
172,4,43,26
173,1,44,10
174,2,44,11
175,3,44,7
176,4,44,17
177,1,45,29
178,2,45,24
